time="2018-05-02T03:26:49Z" level=info msg="[pd] create pd client with endpoints [172.31.42.111:2379]"
time="2018-05-02T03:26:49Z" level=info msg="[pd] leader switches to: http://172.31.29.240:2379, previous: "
time="2018-05-02T03:26:49Z" level=info msg="[pd] init cluster id 6550755695932324779"
READ - Count: 16699, Avg(us): 989, Min(us): 188, Max(us): 76937, 95th(us): 3000, 99th(us): 6000
UPDATE - Count: 16619, Avg(us): 3080, Min(us): 1050, Max(us): 80942, 95th(us): 7000, 99th(us): 10000
READ - Count: 30968, Avg(us): 1357, Min(us): 184, Max(us): 6261921, 95th(us): 3000, 99th(us): 7000
UPDATE - Count: 31209, Avg(us): 4407, Min(us): 1050, Max(us): 6348911, 95th(us): 7000, 99th(us): 12000
READ - Count: 52688, Avg(us): 1203, Min(us): 183, Max(us): 6261921, 95th(us): 3000, 99th(us): 7000
UPDATE - Count: 53369, Avg(us): 3858, Min(us): 1050, Max(us): 6348911, 95th(us): 7000, 99th(us): 12000
READ - Count: 74836, Avg(us): 1135, Min(us): 183, Max(us): 6261921, 95th(us): 3000, 99th(us): 7000
UPDATE - Count: 75723, Avg(us): 3619, Min(us): 1050, Max(us): 6348911, 95th(us): 7000, 99th(us): 11000
READ - Count: 96836, Avg(us): 1099, Min(us): 183, Max(us): 6261921, 95th(us): 3000, 99th(us): 7000
UPDATE - Count: 97657, Avg(us): 3504, Min(us): 1050, Max(us): 6348911, 95th(us): 7000, 99th(us): 12000
READ - Count: 118295, Avg(us): 1080, Min(us): 183, Max(us): 6261921, 95th(us): 3000, 99th(us): 7000
UPDATE - Count: 119327, Avg(us): 3441, Min(us): 1050, Max(us): 6348911, 95th(us): 7000, 99th(us): 12000
READ - Count: 144578, Avg(us): 1037, Min(us): 183, Max(us): 6261921, 95th(us): 3000, 99th(us): 7000
UPDATE - Count: 145552, Avg(us): 3284, Min(us): 1050, Max(us): 6348911, 95th(us): 7000, 99th(us): 12000
Run finished, takes 1m12.132441329s
READ - Count: 149531, Avg(us): 1029, Min(us): 183, Max(us): 6261921, 95th(us): 3000, 99th(us): 7000
UPDATE - Count: 150466, Avg(us): 3254, Min(us): 1050, Max(us): 6348911, 95th(us): 7000, 99th(us): 12000
