time="2018-05-01T23:57:27Z" level=info msg="[pd] create pd client with endpoints [172.31.29.240:2379]"
time="2018-05-01T23:57:27Z" level=info msg="[pd] leader switches to: http://172.31.29.240:2379, previous: "
time="2018-05-01T23:57:27Z" level=info msg="[pd] init cluster id 6550755695932324779"
READ - Count: 4898, Avg(us): 505, Min(us): 175, Max(us): 49717, 95th(us): 1000, 99th(us): 6000
UPDATE - Count: 4887, Avg(us): 1529, Min(us): 671, Max(us): 16396, 95th(us): 6000, 99th(us): 10000
UPDATE - Count: 9850, Avg(us): 1530, Min(us): 663, Max(us): 21165, 95th(us): 6000, 99th(us): 10000
READ - Count: 9709, Avg(us): 497, Min(us): 173, Max(us): 49717, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 14881, Avg(us): 1524, Min(us): 654, Max(us): 22273, 95th(us): 6000, 99th(us): 10000
READ - Count: 14722, Avg(us): 487, Min(us): 170, Max(us): 49717, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 19858, Avg(us): 1526, Min(us): 654, Max(us): 22273, 95th(us): 6000, 99th(us): 10000
READ - Count: 19403, Avg(us): 489, Min(us): 170, Max(us): 49717, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 24844, Avg(us): 1521, Min(us): 654, Max(us): 22273, 95th(us): 6000, 99th(us): 10000
READ - Count: 24254, Avg(us): 492, Min(us): 170, Max(us): 49717, 95th(us): 1000, 99th(us): 7000
READ - Count: 29164, Avg(us): 495, Min(us): 170, Max(us): 49717, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 29739, Avg(us): 1521, Min(us): 654, Max(us): 22273, 95th(us): 6000, 99th(us): 10000
UPDATE - Count: 34690, Avg(us): 1519, Min(us): 654, Max(us): 22273, 95th(us): 6000, 99th(us): 10000
READ - Count: 34245, Avg(us): 495, Min(us): 170, Max(us): 49717, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 39659, Avg(us): 1521, Min(us): 654, Max(us): 22273, 95th(us): 6000, 99th(us): 10000
READ - Count: 39129, Avg(us): 492, Min(us): 170, Max(us): 49717, 95th(us): 1000, 99th(us): 7000
READ - Count: 43987, Avg(us): 493, Min(us): 167, Max(us): 49717, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 44591, Avg(us): 1522, Min(us): 654, Max(us): 22273, 95th(us): 6000, 99th(us): 10000
UPDATE - Count: 49399, Avg(us): 1526, Min(us): 654, Max(us): 22273, 95th(us): 6000, 99th(us): 10000
READ - Count: 48907, Avg(us): 493, Min(us): 167, Max(us): 49717, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 54312, Avg(us): 1528, Min(us): 653, Max(us): 25164, 95th(us): 6000, 99th(us): 10000
READ - Count: 53891, Avg(us): 490, Min(us): 167, Max(us): 49717, 95th(us): 1000, 99th(us): 7000
READ - Count: 58793, Avg(us): 490, Min(us): 167, Max(us): 49717, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 59291, Avg(us): 1528, Min(us): 645, Max(us): 44352, 95th(us): 6000, 99th(us): 10000
UPDATE - Count: 64257, Avg(us): 1528, Min(us): 645, Max(us): 44352, 95th(us): 6000, 99th(us): 10000
READ - Count: 63729, Avg(us): 488, Min(us): 167, Max(us): 49717, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 69144, Avg(us): 1528, Min(us): 645, Max(us): 44352, 95th(us): 6000, 99th(us): 10000
READ - Count: 68604, Avg(us): 490, Min(us): 167, Max(us): 49717, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 74034, Avg(us): 1529, Min(us): 645, Max(us): 44352, 95th(us): 6000, 99th(us): 10000
READ - Count: 73636, Avg(us): 489, Min(us): 167, Max(us): 49717, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 79020, Avg(us): 1528, Min(us): 645, Max(us): 44352, 95th(us): 6000, 99th(us): 10000
READ - Count: 78647, Avg(us): 489, Min(us): 167, Max(us): 49717, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 84057, Avg(us): 1525, Min(us): 645, Max(us): 44352, 95th(us): 6000, 99th(us): 10000
READ - Count: 83741, Avg(us): 489, Min(us): 165, Max(us): 49717, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 88837, Avg(us): 1524, Min(us): 645, Max(us): 44352, 95th(us): 6000, 99th(us): 10000
READ - Count: 88623, Avg(us): 493, Min(us): 165, Max(us): 405913, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 93758, Avg(us): 1524, Min(us): 645, Max(us): 44352, 95th(us): 6000, 99th(us): 10000
READ - Count: 93581, Avg(us): 493, Min(us): 165, Max(us): 405913, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 98633, Avg(us): 1525, Min(us): 643, Max(us): 44352, 95th(us): 6000, 99th(us): 10000
READ - Count: 98579, Avg(us): 492, Min(us): 165, Max(us): 405913, 95th(us): 1000, 99th(us): 7000
READ - Count: 103510, Avg(us): 492, Min(us): 165, Max(us): 405913, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 103543, Avg(us): 1526, Min(us): 643, Max(us): 44352, 95th(us): 6000, 99th(us): 10000
READ - Count: 108219, Avg(us): 494, Min(us): 165, Max(us): 405913, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 108237, Avg(us): 1528, Min(us): 643, Max(us): 44352, 95th(us): 6000, 99th(us): 10000
UPDATE - Count: 112434, Avg(us): 1539, Min(us): 643, Max(us): 44352, 95th(us): 6000, 99th(us): 10000
READ - Count: 112186, Avg(us): 497, Min(us): 165, Max(us): 405913, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 116486, Avg(us): 1550, Min(us): 643, Max(us): 44352, 95th(us): 6000, 99th(us): 10000
READ - Count: 116207, Avg(us): 501, Min(us): 165, Max(us): 405913, 95th(us): 1000, 99th(us): 7000
READ - Count: 120342, Avg(us): 505, Min(us): 165, Max(us): 405913, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 120535, Avg(us): 1559, Min(us): 643, Max(us): 44352, 95th(us): 6000, 99th(us): 10000
UPDATE - Count: 124529, Avg(us): 1570, Min(us): 643, Max(us): 44352, 95th(us): 6000, 99th(us): 10000
READ - Count: 124345, Avg(us): 508, Min(us): 165, Max(us): 405913, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 128596, Avg(us): 1580, Min(us): 643, Max(us): 44352, 95th(us): 6000, 99th(us): 10000
READ - Count: 128270, Avg(us): 511, Min(us): 165, Max(us): 405913, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 132696, Avg(us): 1587, Min(us): 643, Max(us): 44352, 95th(us): 6000, 99th(us): 10000
READ - Count: 132297, Avg(us): 514, Min(us): 165, Max(us): 405913, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 137536, Avg(us): 1586, Min(us): 643, Max(us): 44352, 95th(us): 6000, 99th(us): 10000
READ - Count: 137126, Avg(us): 513, Min(us): 165, Max(us): 405913, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 142142, Avg(us): 1588, Min(us): 643, Max(us): 409653, 95th(us): 6000, 99th(us): 10000
READ - Count: 141633, Avg(us): 514, Min(us): 165, Max(us): 405913, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 146829, Avg(us): 1589, Min(us): 643, Max(us): 409653, 95th(us): 6000, 99th(us): 10000
READ - Count: 146207, Avg(us): 513, Min(us): 165, Max(us): 405913, 95th(us): 1000, 99th(us): 7000
Run finished, takes 5m17.522106004s
READ - Count: 149653, Avg(us): 514, Min(us): 165, Max(us): 405913, 95th(us): 1000, 99th(us): 7000
UPDATE - Count: 150347, Avg(us): 1590, Min(us): 643, Max(us): 409653, 95th(us): 6000, 99th(us): 10000
