time="2018-05-02T03:26:49Z" level=info msg="[pd] create pd client with endpoints [172.31.10.55:2379]"
time="2018-05-02T03:26:49Z" level=info msg="[pd] leader switches to: http://172.31.29.240:2379, previous: "
time="2018-05-02T03:26:49Z" level=info msg="[pd] init cluster id 6550755695932324779"
READ - Count: 23707, Avg(us): 959, Min(us): 194, Max(us): 75542, 95th(us): 4000, 99th(us): 6000
UPDATE - Count: 23762, Avg(us): 2818, Min(us): 728, Max(us): 77732, 95th(us): 7000, 99th(us): 10000
READ - Count: 45100, Avg(us): 997, Min(us): 194, Max(us): 107927, 95th(us): 4000, 99th(us): 7000
UPDATE - Count: 45726, Avg(us): 2939, Min(us): 713, Max(us): 160056, 95th(us): 7000, 99th(us): 12000
UPDATE - Count: 69002, Avg(us): 2928, Min(us): 713, Max(us): 160056, 95th(us): 7000, 99th(us): 12000
READ - Count: 67932, Avg(us): 986, Min(us): 193, Max(us): 107927, 95th(us): 4000, 99th(us): 7000
READ - Count: 91129, Avg(us): 981, Min(us): 193, Max(us): 107927, 95th(us): 4000, 99th(us): 7000
UPDATE - Count: 92151, Avg(us): 2922, Min(us): 713, Max(us): 160056, 95th(us): 7000, 99th(us): 12000
UPDATE - Count: 115471, Avg(us): 2916, Min(us): 713, Max(us): 160056, 95th(us): 7000, 99th(us): 12000
READ - Count: 114448, Avg(us): 975, Min(us): 193, Max(us): 107927, 95th(us): 4000, 99th(us): 7000
READ - Count: 137045, Avg(us): 978, Min(us): 193, Max(us): 107927, 95th(us): 4000, 99th(us): 7000
UPDATE - Count: 138069, Avg(us): 2927, Min(us): 713, Max(us): 160056, 95th(us): 7000, 99th(us): 12000
Run finished, takes 1m4.907278799s
READ - Count: 149564, Avg(us): 970, Min(us): 193, Max(us): 107927, 95th(us): 4000, 99th(us): 7000
UPDATE - Count: 150433, Avg(us): 2897, Min(us): 713, Max(us): 160056, 95th(us): 7000, 99th(us): 12000
